"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-04","Prince Edward Island","2016A000211","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063342","3.3.3.6.1.1","27.5","","","","1"
"2024-04","Prince Edward Island","2016A000211","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063369","3.3.3.7.1.1","9.8","","","","1"
"2024-04","Prince Edward Island","2016A000211","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063228","3.6.2.2.1.1","0.9","","","","1"
"2024-04","Prince Edward Island","2016A000211","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063336","3.6.2.6.1.1","2.0","","","","1"
"2024-04","Prince Edward Island","2016A000211","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063363","3.6.2.7.1.1","1.3","","","","1"
"2024-04","Prince Edward Island","2016A000211","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063237","3.6.3.2.1.1","0.5","","","","1"
"2024-04","Prince Edward Island","2016A000211","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063345","3.6.3.6.1.1","1.4","","","","1"
"2024-04","Prince Edward Island","2016A000211","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063372","3.6.3.7.1.1","0.7","","","","1"
"2024-04","Nova Scotia","2016A000212","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063412","4.1.2.2.1.1","62.2","","","","1"
"2024-04","Nova Scotia","2016A000212","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063520","4.1.2.6.1.1","189.3","","","","1"
"2024-04","Nova Scotia","2016A000212","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063547","4.1.2.7.1.1","178.1","","","","1"
"2024-04","Nova Scotia","2016A000212","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063421","4.1.3.2.1.1","58.6","","","","1"
"2024-04","Nova Scotia","2016A000212","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063529","4.1.3.6.1.1","199.5","","","","1"
"2024-04","Nova Scotia","2016A000212","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063556","4.1.3.7.1.1","196.8","","","","1"
"2024-04","Nova Scotia","2016A000212","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063413","4.2.2.2.1.1","42.1","","","","1"
"2024-04","Nova Scotia","2016A000212","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063521","4.2.2.6.1.1","168.3","","","","1"
"2024-04","Nova Scotia","2016A000212","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063548","4.2.2.7.1.1","67.2","","","","1"
"2024-04","Nova Scotia","2016A000212","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063422","4.2.3.2.1.1","40.7","","","","1"
"2024-04","Nova Scotia","2016A000212","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063530","4.2.3.6.1.1","173.5","","","","1"
"2024-04","Nova Scotia","2016A000212","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063557","4.2.3.7.1.1","57.3","","","","1"
"2024-04","Nova Scotia","2016A000212","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063414","4.3.2.2.1.1","36.5","","","","1"
"2024-04","Nova Scotia","2016A000212","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063522","4.3.2.6.1.1","160.1","","","","1"
"2024-04","Nova Scotia","2016A000212","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063549","4.3.2.7.1.1","63.1","","","","1"
"2024-04","Nova Scotia","2016A000212","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063423","4.3.3.2.1.1","36.8","","","","1"
"2024-04","Nova Scotia","2016A000212","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063531","4.3.3.6.1.1","163.7","","","","1"
"2024-04","Nova Scotia","2016A000212","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063558","4.3.3.7.1.1","55.3","","","","1"
"2024-04","Nova Scotia","2016A000212","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063417","4.6.2.2.1.1","5.6","","","","1"
"2024-04","Nova Scotia","2016A000212","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063525","4.6.2.6.1.1","8.2","","","","1"
"2024-04","Nova Scotia","2016A000212","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063552","4.6.2.7.1.1","4.1","","","","1"
"2024-04","Nova Scotia","2016A000212","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063426","4.6.3.2.1.1","4.0","","","","1"
"2024-04","Nova Scotia","2016A000212","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063534","4.6.3.6.1.1","9.8","","","","1"
"2024-04","Nova Scotia","2016A000212","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063561","4.6.3.7.1.1","2.0","","","","1"
"2024-04","New Brunswick","2016A000213","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063601","5.1.2.2.1.1","47.5","","","","1"
