"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Prince Edward Island","2016A000211","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057649","3.9.1.1","11.5","","","","1"
"2024-05","Prince Edward Island","2016A000211","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057650","3.10.1.1","3.2","","","","1"
"2024-05","Prince Edward Island","2016A000211","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057651","3.11.1.1","3.7","","","","1"
"2024-05","Prince Edward Island","2016A000211","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057652","3.12.1.1","5.0","","","","1"
"2024-05","Prince Edward Island","2016A000211","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057653","3.13.1.1","2.5","","","","1"
"2024-05","Prince Edward Island","2016A000211","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057654","3.14.1.1","6.8","","","","1"
"2024-05","Prince Edward Island","2016A000211","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057655","3.15.1.1","13.3","","","","1"
"2024-05","Prince Edward Island","2016A000211","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057656","3.16.1.1","3.4","","","","1"
"2024-05","Prince Edward Island","2016A000211","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057657","3.17.1.1","5.9","","","","1"
"2024-05","Prince Edward Island","2016A000211","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057658","3.18.1.1","3.6","","","","1"
"2024-05","Prince Edward Island","2016A000211","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057659","3.19.1.1","10.3","","","","1"
"2024-05","Nova Scotia","2016A000212","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057660","4.1.1.1","514.6","","","","1"
"2024-05","Nova Scotia","2016A000212","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057662","4.3.1.1","3.4","","","","1"
"2024-05","Nova Scotia","2016A000212","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057663","4.4.1.1","10.5","","","","1"
"2024-05","Nova Scotia","2016A000212","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057664","4.5.1.1","4.1","","","","1"
"2024-05","Nova Scotia","2016A000212","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057665","4.6.1.1","40.0","","","","1"
"2024-05","Nova Scotia","2016A000212","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057666","4.7.1.1","34.1","","","","1"
"2024-05","Nova Scotia","2016A000212","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057668","4.9.1.1","80.8","","","","1"
"2024-05","Nova Scotia","2016A000212","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057669","4.10.1.1","22.9","","","","1"
"2024-05","Nova Scotia","2016A000212","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057670","4.11.1.1","30.9","","","","1"
"2024-05","Nova Scotia","2016A000212","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057671","4.12.1.1","37.0","","","","1"
"2024-05","Nova Scotia","2016A000212","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057672","4.13.1.1","15.6","","","","1"
"2024-05","Nova Scotia","2016A000212","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057673","4.14.1.1","43.1","","","","1"
"2024-05","Nova Scotia","2016A000212","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057674","4.15.1.1","78.9","","","","1"
"2024-05","Nova Scotia","2016A000212","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057675","4.16.1.1","18.9","","","","1"
"2024-05","Nova Scotia","2016A000212","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057676","4.17.1.1","33.0","","","","1"
"2024-05","Nova Scotia","2016A000212","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057677","4.18.1.1","23.1","","","","1"
"2024-05","Nova Scotia","2016A000212","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057678","4.19.1.1","38.7","","","","1"
"2024-05","New Brunswick","2016A000213","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057679","5.1.1.1","397.4","","","","1"
"2024-05","New Brunswick","2016A000213","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057681","5.3.1.1","5.9","","","","1"
"2024-05","New Brunswick","2016A000213","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057682","5.4.1.1","8.2","","","","1"
"2024-05","New Brunswick","2016A000213","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057683","5.5.1.1","5.3","","","","1"
"2024-05","New Brunswick","2016A000213","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057684","5.6.1.1","32.5","","","","1"
"2024-05","New Brunswick","2016A000213","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057685","5.7.1.1","26.9","","","","1"
"2024-05","New Brunswick","2016A000213","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057687","5.9.1.1","55.3","","","","1"
"2024-05","New Brunswick","2016A000213","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057688","5.10.1.1","22.0","","","","1"
"2024-05","New Brunswick","2016A000213","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057689","5.11.1.1","20.9","","","","1"
"2024-05","New Brunswick","2016A000213","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057690","5.12.1.1","25.3","","","","1"
"2024-05","New Brunswick","2016A000213","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057691","5.13.1.1","13.1","","","","1"
"2024-05","New Brunswick","2016A000213","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057692","5.14.1.1","30.5","","","","1"
"2024-05","New Brunswick","2016A000213","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057693","5.15.1.1","62.0","","","","1"
"2024-05","New Brunswick","2016A000213","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057694","5.16.1.1","12.2","","","","1"
"2024-05","New Brunswick","2016A000213","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057695","5.17.1.1","22.9","","","","1"
"2024-05","New Brunswick","2016A000213","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057696","5.18.1.1","17.1","","","","1"
"2024-05","New Brunswick","2016A000213","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057697","5.19.1.1","37.1","","","","1"
"2024-05","Quebec","2016A000224","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057698","6.1.1.1","4532.3","","","","1"
"2024-05","Quebec","2016A000224","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057700","6.3.1.1","51.2","","","","1"
"2024-05","Quebec","2016A000224","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057701","6.4.1.1","37.9","","","","1"
"2024-05","Quebec","2016A000224","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057702","6.5.1.1","30.5","","","","1"
"2024-05","Quebec","2016A000224","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057703","6.6.1.1","322.9","","","","1"
"2024-05","Quebec","2016A000224","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057704","6.7.1.1","490.8","","","","1"
"2024-05","Quebec","2016A000224","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057706","6.9.1.1","656.9","","","","1"
"2024-05","Quebec","2016A000224","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057707","6.10.1.1","217.6","","","","1"
"2024-05","Quebec","2016A000224","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057708","6.11.1.1","273.8","","","","1"
"2024-05","Quebec","2016A000224","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057709","6.12.1.1","371.8","","","","1"
"2024-05","Quebec","2016A000224","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057710","6.13.1.1","169.2","","","","1"
"2024-05","Quebec","2016A000224","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057711","6.14.1.1","347.7","","","","1"
"2024-05","Quebec","2016A000224","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057712","6.15.1.1","655.1","","","","1"
"2024-05","Quebec","2016A000224","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057713","6.16.1.1","187.6","","","","1"
"2024-05","Quebec","2016A000224","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057714","6.17.1.1","251.9","","","","1"
"2024-05","Quebec","2016A000224","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057715","6.18.1.1","180.2","","","","1"
"2024-05","Quebec","2016A000224","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057716","6.19.1.1","287.2","","","","1"
"2024-05","Ontario","2016A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057717","7.1.1.1","8045.0","","","","1"
"2024-05","Ontario","2016A000235","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057719","7.3.1.1","71.6","","","","1"
"2024-05","Ontario","2016A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057720","7.4.1.1","37.8","","","","1"
"2024-05","Ontario","2016A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057721","7.5.1.1","57.4","","","","1"
"2024-05","Ontario","2016A000235","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057722","7.6.1.1","574.3","","","","1"
"2024-05","Ontario","2016A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057723","7.7.1.1","806.3","","","","1"
"2024-05","Ontario","2016A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057725","7.9.1.1","1118.0","","","","1"
"2024-05","Ontario","2016A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057726","7.10.1.1","407.6","","","","1"
"2024-05","Ontario","2016A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057727","7.11.1.1","701.3","","","","1"
"2024-05","Ontario","2016A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057728","7.12.1.1","888.3","","","","1"
"2024-05","Ontario","2016A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057729","7.13.1.1","288.1","","","","1"
"2024-05","Ontario","2016A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057730","7.14.1.1","579.8","","","","1"
"2024-05","Ontario","2016A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057731","7.15.1.1","1013.0","","","","1"
"2024-05","Ontario","2016A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057732","7.16.1.1","326.4","","","","1"
"2024-05","Ontario","2016A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057733","7.17.1.1","419.3","","","","1"
"2024-05","Ontario","2016A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057734","7.18.1.1","291.4","","","","1"
"2024-05","Ontario","2016A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057735","7.19.1.1","464.3","","","","1"
"2024-05","Manitoba","2016A000246","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057736","8.1.1.1","711.1","","","","1"
