"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","9.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","7.3","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","6.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","9.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","12.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","10.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","8.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","8.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","7.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","9.9","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","9.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","7.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","6.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","8.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","11.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","10.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","8.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","6.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","65 years and over","Percentage","242","units","0","v2583986","1.8.3.2.9","3.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","65 years and over","Percentage","242","units","0","v2583986","1.8.3.2.9","7.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","65 years and over","Percentage","242","units","0","v2583986","1.8.3.2.9","6.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","65 years and over","Percentage","242","units","0","v2583986","1.8.3.2.9","4.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","65 years and over","Percentage","242","units","0","v2583986","1.8.3.2.9","6.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2584076","1.8.3.3.1","11.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2584076","1.8.3.3.1","18.7","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2584076","1.8.3.3.1","15.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2584076","1.8.3.3.1","12.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2584076","1.8.3.3.1","13.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","15.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","25.1","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","19.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","14.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","17.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","7.6","","","","1"
