"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-03","New Brunswick","2016A000213","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063603","5.3.2.2.1.1","25.7","","","","1"
"2024-03","New Brunswick","2016A000213","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063711","5.3.2.6.1.1","125.1","","","","1"
"2024-03","New Brunswick","2016A000213","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063738","5.3.2.7.1.1","48.5","","","","1"
"2024-03","New Brunswick","2016A000213","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063612","5.3.3.2.1.1","25.9","","","","1"
"2024-03","New Brunswick","2016A000213","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063720","5.3.3.6.1.1","123.5","","","","1"
"2024-03","New Brunswick","2016A000213","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063747","5.3.3.7.1.1","42.2","","","","1"
"2024-03","New Brunswick","2016A000213","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063606","5.6.2.2.1.1","4.2","","","","1"
"2024-03","New Brunswick","2016A000213","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063714","5.6.2.6.1.1","12.0","","","","1"
"2024-03","New Brunswick","2016A000213","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063741","5.6.2.7.1.1","5.2","","","","1"
"2024-03","New Brunswick","2016A000213","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063615","5.6.3.2.1.1","3.5","","","","1"
"2024-03","New Brunswick","2016A000213","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063723","5.6.3.6.1.1","4.7","","","","1"
"2024-03","New Brunswick","2016A000213","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063750","5.6.3.7.1.1","3.5","","","","1"
"2024-03","Quebec","2016A000224","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063790","6.1.2.2.1.1","495.6","","","","1"
"2024-03","Quebec","2016A000224","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063898","6.1.2.6.1.1","1728.5","","","","1"
"2024-03","Quebec","2016A000224","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063925","6.1.2.7.1.1","1463.1","","","","1"
"2024-03","Quebec","2016A000224","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063799","6.1.3.2.1.1","468.3","","","","1"
"2024-03","Quebec","2016A000224","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063907","6.1.3.6.1.1","1660.6","","","","1"
"2024-03","Quebec","2016A000224","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063934","6.1.3.7.1.1","1554.1","","","","1"
"2024-03","Quebec","2016A000224","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063791","6.2.2.2.1.1","335.4","","","","1"
"2024-03","Quebec","2016A000224","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063899","6.2.2.6.1.1","1588.1","","","","1"
"2024-03","Quebec","2016A000224","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063926","6.2.2.7.1.1","590.0","","","","1"
"2024-03","Quebec","2016A000224","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063800","6.2.3.2.1.1","327.3","","","","1"
"2024-03","Quebec","2016A000224","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063908","6.2.3.6.1.1","1461.4","","","","1"
"2024-03","Quebec","2016A000224","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063935","6.2.3.7.1.1","449.0","","","","1"
"2024-03","Quebec","2016A000224","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063792","6.3.2.2.1.1","307.3","","","","1"
"2024-03","Quebec","2016A000224","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063900","6.3.2.6.1.1","1507.4","","","","1"
"2024-03","Quebec","2016A000224","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063927","6.3.2.7.1.1","563.3","","","","1"
"2024-03","Quebec","2016A000224","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063801","6.3.3.2.1.1","298.4","","","","1"
"2024-03","Quebec","2016A000224","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063909","6.3.3.6.1.1","1405.9","","","","1"
"2024-03","Quebec","2016A000224","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063936","6.3.3.7.1.1","432.8","","","","1"
"2024-03","Quebec","2016A000224","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063795","6.6.2.2.1.1","28.1","","","","1"
"2024-03","Quebec","2016A000224","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063903","6.6.2.6.1.1","80.6","","","","1"
"2024-03","Quebec","2016A000224","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063930","6.6.2.7.1.1","26.7","","","","1"
"2024-03","Quebec","2016A000224","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063804","6.6.3.2.1.1","29.0","","","","1"
"2024-03","Quebec","2016A000224","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063912","6.6.3.6.1.1","55.5","","","","1"
"2024-03","Quebec","2016A000224","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063939","6.6.3.7.1.1","16.1","","","","1"
"2024-03","Ontario","2016A000235","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063979","7.1.2.2.1.1","1052.3","","","","1"
"2024-03","Ontario","2016A000235","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064087","7.1.2.6.1.1","3142.9","","","","1"
"2024-03","Ontario","2016A000235","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064114","7.1.2.7.1.1","2289.0","","","","1"
"2024-03","Ontario","2016A000235","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063988","7.1.3.2.1.1","977.5","","","","1"
"2024-03","Ontario","2016A000235","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064096","7.1.3.6.1.1","3139.2","","","","1"
"2024-03","Ontario","2016A000235","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064123","7.1.3.7.1.1","2539.2","","","","1"
"2024-03","Ontario","2016A000235","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063980","7.2.2.2.1.1","626.4","","","","1"
